# TIME: 181.227022064 s
# Channel Counts
1015.1314295699624 13673
1045.387378720583 11611
1075.6433278712038 9726
1105.8992770218244 8574
1136.155226172445 7739
1166.411175323066 7122
1196.6671244736865 7177
1226.923073624307 7154
1257.179022774928 7299
1287.4349719255483 7618
1317.6909210761692 8033
1347.94687022679 8527
1378.2028193774104 9051
1408.4587685280312 9971
1438.714717678652 10601
1468.9706668292724 11481
1499.2266159798933 12678
1529.482565130514 13585
1559.7385142811345 14206
1589.9944634317553 15474
1620.250412582376 16334
1650.5063617329965 17187
1680.7623108836174 18293
1711.018260034238 18995
1741.2742091848586 19755
1771.5301583354794 20596
1801.7861074860998 21488
1832.0420566367206 22240
1862.2980057873415 22602
1892.5539549379619 22722
1922.8099040885827 23025
1953.0658532392035 23337
1983.321802389824 23209
2013.5777515404448 23384
2043.8337006910654 23067
2074.089649841686 22823
2104.345598992307 22129
2134.6015481429276 21816
2164.857497293548 21190
2195.113446444169 20387
2225.3693955947892 19808
2255.62534474541 18968
2285.881293896031 17940
2316.1372430466517 17193
2346.393192197272 16388
2376.649141347893 14892
2406.9050904985133 14440
2437.161039649134 13386
2467.416988799755 12309
2497.672937950376 11613
2527.9288871009962 10516
2558.1848362516166 9515
2588.4407854022375 8721
2618.6967345528583 7928
2648.952683703479 7250
2679.2086328540995 6548
2709.4645820047203 5872
2739.7205311553407 5382
2769.9764803059616 4745
2800.2324294565824 4380
2830.4883786072032 3698
2860.7443277578236 3295
2891.0002769084444 2911
2921.256226059065 2594
2951.5121752096857 2296
2981.7681243603065 2071
3012.0240735109273 1756
3042.2800226615477 1583
3072.5359718121686 1400
3102.791920962789 1222
3133.0478701134098 1099
3163.3038192640306 951
3193.5597684146514 914
3223.815717565272 794
3254.0716667158927 731
3284.327615866513 658
3314.583565017134 599
3344.8395141677547 571
3375.0954633183756 521
3405.351412468996 482
3435.6073616196168 421
3465.863310770237 424
3496.119259920858 419
3526.375209071479 344
3556.631158222099 375
3586.88710737272 358
3617.1430565233404 380
3647.3990056739613 325
3677.654954824582 322
3707.910903975203 307
3738.1668531258233 338
3768.422802276444 317
3798.6787514270645 301
3828.9347005776854 325
3859.190649728306 256
3889.446598878927 332
3919.7025480295474 303
3949.9584971801683 296
3980.2144463307886 285
4010.4703954814095 235
4040.7263446320303 302
4070.9822937826507 285
4101.238242933272 261
4131.494192083892 282
4161.750141234512 270
4192.006090385134 258
4222.2620395357535 255
4252.517988686375 260
4282.773937836995 210
4313.029886987616 259
4343.285836138237 254
4373.541785288857 263
4403.7977344394785 234
4434.053683590098 228
4464.30963274072 266
4494.56558189134 251
4524.82153104196 251
4555.077480192582 215
4585.333429343202 241
4615.5893784938235 226
4645.845327644443 214
4676.101276795063 217
4706.357225945685 188
4736.613175096305 235
4766.869124246927 199
4797.125073397547 200
4827.3810225481675 190
4857.636971698788 190
4887.892920849408 179
4918.14887000003 203
4948.40481915065 205
4978.660768301272 185
5008.916717451892 187
5039.1726666025115 201
5069.428615753133 202
5099.684564903753 204
5129.940514054375 191
5160.196463204995 168
5190.452412355617 210
5220.7083615062365 188
5250.9643106568565 189
5281.220259807478 175
5311.476208958098 176
5341.73215810872 197
5371.98810725934 176
5402.244056409961 205
5432.5000055605815 196
5462.755954711201 173
5493.011903861823 186
5523.267853012443 189
5553.523802163064 181
5583.779751313685 180
5614.035700464305 166
5644.291649614926 138
5674.547598765546 163
5704.803547916168 174
5735.059497066788 183
5765.315446217408 188
5795.57139536803 169
5825.82734451865 148
5856.083293669271 170
5886.339242819891 168
5916.595191970512 174
5946.851141121133 147
5977.107090271753 163
6007.363039422375 147
6037.618988572995 162
6067.874937723615 158
6098.130886874236 153
6128.386836024856 154
6158.642785175478 145
6188.898734326098 127
6219.15468347672 156
6249.4106326273395 132
6279.666581777959 135
6309.922530928581 149
6340.178480079201 135
6370.434429229823 116
6400.690378380443 128
6430.946327531064 132
6461.202276681684 119
6491.458225832304 140
6521.714174982926 134
6551.970124133546 123
6582.226073284167 138
6612.482022434788 120
6642.737971585408 128
6672.993920736029 123
6703.249869886649 146
6733.505819037271 124
6763.761768187891 110
6794.017717338511 122
6824.273666489133 102
6854.529615639753 108
6884.785564790374 109
6915.041513940994 118
6945.297463091615 99
6975.553412242236 136
7005.809361392856 129
7036.065310543478 132
7066.3212596940975 119
7096.577208844718 105
7126.833157995339 95
7157.089107145959 105
7187.345056296581 107
7217.601005447201 101
7247.856954597823 94
7278.1129037484425 98
7308.368852899062 130
7338.624802049684 112
7368.880751200304 109
7399.136700350926 137
7429.392649501546 114
7459.648598652167 94
7489.904547802787 105
7520.160496953407 111
7550.416446104029 100
7580.672395254649 88
7610.928344405271 108
7641.184293555891 93
7671.440242706511 96
7701.696191857132 112
7731.952141007752 100
7762.208090158374 108
7792.464039308994 90
7822.719988459614 92
7852.975937610236 97
7883.231886760856 81
7913.487835911477 93
7943.743785062097 101
7973.999734212718 78
8004.255683363339 98
8034.511632513959 104
8064.767581664581 116
8095.0235308152005 86
8125.279479965822 95
8155.535429116442 84
8185.791378267062 92
8216.047327417684 85
8246.303276568304 84
8276.559225718924 95
8306.815174869545 87
8337.071124020165 89
8367.327073170785 90
8397.583022321407 92
8427.838971472029 73
8458.094920622649 69
8488.350869773269 84
8518.60681892389 94
8548.86276807451 72
8579.11871722513 78
8609.374666375752 73
8639.630615526374 82
8669.886564676992 105
8700.142513827614 74
8730.398462978235 71
8760.654412128855 81
8790.910361279475 79
8821.166310430097 80
8851.422259580717 80
8881.678208731337 80
8911.934157881959 78
8942.19010703258 79
8972.4460561832 78
9002.70200533382 78
9032.957954484442 68
9063.213903635062 78
9093.469852785682 66
9123.725801936303 82
9153.981751086925 69
9184.237700237545 72
9214.493649388165 74
9244.749598538787 51
9275.005547689409 75
9305.261496840027 65
9335.517445990648 77
9365.77339514127 86
9396.02934429189 58
9426.28529344251 67
9456.541242593132 69
9486.797191743752 60
9517.053140894372 77
9547.309090044993 64
9577.565039195615 58
9607.820988346233 63
9638.076937496855 54
9668.332886647477 62
9698.588835798097 65
9728.844784948717 55
9759.100734099338 67
9789.35668324996 51
9819.612632400578 51
9849.8685815512 50
9880.124530701822 49
9910.380479852442 53
9940.636429003061 54
9970.892378153683 56
10001.148327304303 54
10031.404276454923 59
10061.660225605545 58
10091.916174756167 59
10122.172123906785 54
10152.428073057406 51
10182.684022208028 51
10212.939971358648 56
10243.195920509268 59
10273.45186965989 66
10303.707818810512 60
10333.96376796113 62
10364.219717111751 56
10394.475666262373 53
10424.731615412993 51
10454.987564563613 44
10485.243513714235 60
10515.499462864855 45
10545.755412015475 44
10576.011361166096 45
10606.267310316718 47
10636.523259467336 53
10666.779208617958 72
10697.03515776858 50
10727.2911069192 46
10757.54705606982 63
10787.803005220441 60
10818.058954371063 55
