# TIME: 180.961491136 s
# Channel Counts
1014.8048481726671 3684
1044.3808313541858 2481
1073.9568145357043 1649
1103.532797717223 1133
1133.1087808987418 841
1162.6847640802603 562
1192.260747261779 394
1221.8367304432977 327
1251.4127136248162 284
1280.9886968063352 257
1310.5646799878537 256
1340.1406631693721 282
1369.716646350891 253
1399.2926295324096 245
1428.868612713928 245
1458.444595895447 267
1488.0205790769655 279
1517.596562258484 278
1547.172545440003 293
1576.7485286215215 277
1606.3245118030402 296
1635.900494984559 320
1665.4764781660774 309
1695.0524613475961 309
1724.6284445291149 308
1754.2044277106334 312
1783.7804108921523 317
1813.3563940736708 307
1842.9323772551893 346
1872.5083604367082 336
1902.0843436182267 343
1931.6603267997452 343
1961.2363099812642 367
1990.8122931627827 338
2020.3882763443014 354
2049.96425952582 370
2079.5402427073386 342
2109.116225888857 361
2138.692209070376 347
2168.2681922518946 347
2197.8441754334135 311
2227.420158614932 337
2256.9961417964505 345
2286.572124977969 325
2316.148108159488 325
2345.7240913410064 315
2375.3000745225254 368
2404.876057704044 309
2434.4520408855624 317
2464.028024067081 308
2493.6040072486 333
2523.179990430119 304
2552.7559736116373 338
2582.3319567931558 320
2611.9079399746743 284
2641.483923156193 318
2671.0599063377117 308
2700.6358895192307 324
2730.211872700749 282
2759.7878558822676 314
2789.363839063786 282
2818.939822245305 280
2848.5158054268236 270
2878.0917886083425 299
2907.667771789861 282
2937.2437549713795 280
2966.819738152898 299
2996.395721334417 286
3025.971704515936 264
3055.5476876974544 274
3085.123670878973 275
3114.6996540604914 275
3144.27563724201 257
3173.851620423529 282
3203.4276036050474 280
3233.0035867865663 286
3262.579569968085 288
3292.1555531496033 223
3321.731536331122 262
3351.3075195126407 287
3380.8835026941592 261
3410.459485875678 236
3440.0354690571967 254
3469.611452238715 257
3499.187435420234 240
3528.7634186017526 248
3558.3394017832716 274
3587.91538496479 247
3617.4913681463086 233
3647.067351327827 265
3676.643334509346 231
3706.2193176908645 241
3735.7953008723835 221
3765.371284053902 259
3794.9472672354204 221
3824.523250416939 200
3854.099233598458 227
3883.6752167799764 267
3913.2511999614953 214
3942.827183143014 219
3972.4031663245323 265
4001.9791495060513 248
4031.5551326875698 228
4061.1311158690887 230
4090.707099050607 230
4120.283082232127 227
4149.859065413644 224
4179.435048595164 215
4209.011031776681 201
4238.587014958201 224
4268.16299813972 184
4297.738981321238 228
4327.314964502757 221
4356.890947684275 195
4386.466930865794 190
4416.0429140473125 250
4445.618897228831 199
4475.19488041035 193
4504.770863591868 238
4534.346846773387 178
4563.922829954906 223
4593.498813136424 214
4623.074796317944 197
4652.650779499461 213
4682.226762680981 189
4711.802745862498 202
4741.378729044018 185
4770.954712225537 185
4800.530695407055 193
4830.106678588574 223
4859.682661770092 207
4889.258644951611 211
4918.83462813313 189
4948.410611314648 194
4977.9865944961675 199
5007.562577677685 186
5037.1385608592045 167
5066.714544040723 169
5096.2905272222415 177
5125.86651040376 179
5155.4424935852785 188
5185.018476766798 187
5214.5944599483155 219
5244.170443129835 184
5273.7464263113525 155
5303.322409492872 197
5332.898392674391 159
5362.474375855909 198
5392.050359037428 151
5421.626342218946 198
5451.202325400465 206
5480.778308581985 190
5510.354291763502 180
5539.930274945022 151
5569.506258126539 170
5599.082241308059 150
5628.658224489577 147
5658.234207671096 168
5687.810190852615 175
5717.386174034133 156
