# TIME: 181.006176928 s
# Channel Counts
1015.7406411170834 11919
1047.221564050038 11154
1078.702486982993 11350
1110.1834099159473 11391
1141.6643328489022 11489
1173.1452557818566 11658
1204.6261787148114 12003
1236.1071016477658 12101
1267.5880245807207 12166
1299.068947513675 12015
1330.54987044663 12201
1362.0307933795843 12083
1393.5117163125392 11734
1424.9926392454936 11647
1456.4735621784484 11172
1487.954485111403 10619
1519.4354080443577 10339
1550.9163309773123 9802
1582.397253910267 9152
1613.8781768432216 8539
1645.3590997761762 7909
1676.840022709131 7402
1708.3209456420855 6825
1739.8018685750403 6027
1771.2827915079947 5407
1802.7637144409496 4955
1834.244637373904 4597
1865.7255603068588 4077
1897.2064832398135 3487
1928.687406172768 3225
1960.1683291057227 2788
1991.6492520386773 2462
2023.130174971632 2118
2054.6110979045866 1949
2086.092020837541 1725
2117.572943770496 1443
2149.0538667034507 1377
2180.534789636405 1201
2212.0157125693595 1000
2243.4966355023143 903
2274.977558435269 862
2306.458481368224 739
2337.9394043011785 701
2369.420327234133 637
2400.9012501670877 530
2432.3821731000426 533
2463.863096032997 478
2495.3440189659514 475
2526.824941898906 451
2558.305864831861 429
2589.7867877648155 430
2621.26771069777 369
2652.7486336307247 355
2684.2295565636796 398
2715.710479496634 336
2747.191402429589 343
2778.6723253625432 316
2810.153248295498 330
2841.634171228453 342
2873.1150941614073 339
2904.5960170943617 329
2936.0769400273166 347
2967.5578629602714 303
2999.038785893226 296
3030.5197088261802 300
3062.000631759135 305
3093.48155469209 292
3124.962477625045 300
3156.443400557999 283
3187.9243234909536 268
3219.4052464239085 314
3250.8861693568633 308
3282.3670922898177 293
3313.848015222772 275
3345.328938155727 269
3376.809861088682 265
3408.2907840216362 288
3439.7717069545906 274
3471.2526298875455 251
3502.7335528205003 285
3534.2144757534547 264
3565.6953986864096 271
3597.176321619364 286
3628.657244552319 268
3660.1381674852737 261
3691.619090418228 268
3723.1000133511825 270
3754.5809362841374 241
3786.061859217092 284
3817.5427821500466 283
3849.023705083001 231
3880.504628015956 266
3911.9855509489107 269
3943.466473881865 253
3974.9473968148195 235
4006.4283197477744 251
4037.909242680729 244
4069.390165613684 230
4100.871088546638 239
4132.352011479593 229
4163.832934412548 232
4195.313857345502 234
4226.7947802784565 230
4258.275703211411 226
4289.756626144366 231
4321.237549077321 229
4352.718472010275 213
4384.19939494323 213
4415.680317876185 228
4447.161240809139 230
4478.6421637420935 232
4510.123086675048 233
4541.604009608003 197
4573.084932540958 210
4604.565855473913 217
4636.046778406867 212
4667.527701339822 183
4699.008624272777 218
4730.489547205731 182
4761.970470138685 194
4793.45139307164 208
4824.932316004595 202
4856.41323893755 199
4887.894161870504 217
4919.375084803459 177
4950.856007736414 185
4982.336930669368 209
5013.817853602322 204
5045.298776535277 222
5076.779699468232 193
5108.260622401187 181
5139.741545334141 204
5171.222468267096 182
5202.703391200051 213
5234.184314133005 181
5265.665237065959 160
5297.146159998914 173
5328.627082931869 188
5360.108005864824 174
5391.588928797778 171
5423.069851730733 202
5454.550774663688 174
5486.031697596642 195
5517.5126205295965 177
5548.993543462551 177
5580.474466395506 175
5611.955389328461 183
5643.436312261416 160
5674.91723519437 171
5706.398158127325 169
5737.8790810602795 180
5769.3600039932335 168
5800.840926926188 162
5832.321849859143 160
5863.802772792098 177
5895.283695725053 173
5926.764618658007 155
5958.245541590962 183
5989.726464523917 151
6021.2073874568705 174
6052.688310389825 161
6084.16923332278 162
6115.650156255735 137
6147.13107918869 155
6178.612002121645 151
6210.092925054599 161
6241.573847987554 144
6273.054770920508 159
6304.535693853462 144
6336.016616786417 146
6367.497539719372 134
6398.978462652327 144
6430.459385585282 154
6461.940308518236 117
6493.421231451191 131
6524.902154384145 127
6556.3830773171 151
6587.864000250054 131
6619.344923183009 137
6650.825846115964 154
6682.306769048919 146
6713.787691981874 124
6745.268614914828 119
6776.749537847782 129
6808.230460780737 127
6839.711383713691 124
6871.192306646646 140
6902.673229579601 137
6934.154152512556 138
6965.635075445511 118
6997.115998378465 121
7028.5969213114195 110
7060.077844244374 128
7091.558767177329 118
7123.039690110283 105
7154.520613043238 126
7186.001535976193 111
7217.482458909148 111
7248.9633818421025 109
7280.4443047750565 100
7311.925227708011 116
7343.406150640966 106
7374.88707357392 128
7406.367996506875 99
7437.84891943983 126
7469.329842372785 111
7500.81076530574 103
7532.2916882386935 100
7563.772611171648 99
7595.253534104603 124
7626.734457037558 104
7658.215379970512 107
7689.696302903467 103
7721.177225836422 108
7752.658148769377 109
7784.139071702331 101
7815.619994635285 96
7847.10091756824 98
7878.581840501195 94
7910.062763434149 99
7941.543686367104 105
7973.024609300059 108
8004.505532233014 94
8035.986455165968 91
8067.467378098923 90
8098.948301031877 102
8130.429223964832 92
8161.910146897787 83
8193.39106983074 91
8224.871992763696 97
8256.35291569665 101
8287.833838629605 85
8319.31476156256 110
8350.795684495515 93
8382.27660742847 97
8413.757530361425 84
8445.23845329438 90
8476.719376227333 82
8508.200299160288 91
8539.681222093242 87
8571.162145026197 75
8602.643067959152 105
8634.123990892107 78
8665.604913825062 76
8697.085836758017 82
8728.56675969097 87
8760.047682623925 78
8791.52860555688 84
8823.009528489834 69
8854.49045142279 79
8885.971374355744 88
8917.452297288699 68
8948.933220221654 71
8980.414143154609 83
9011.895066087562 67
9043.375989020516 70
9074.856911953471 91
9106.337834886426 77
9137.818757819381 90
9169.299680752336 79
9200.780603685289 76
9232.261526618244 75
9263.742449551199 61
9295.223372484154 69
9326.704295417108 70
9358.185218350063 71
9389.666141283018 58
9421.147064215973 88
9452.627987148928 71
9484.10891008188 56
9515.589833014836 75
9547.07075594779 66
9578.551678880745 57
9610.0326018137 65
9641.513524746655 59
9672.99444767961 84
9704.475370612565 82
9735.956293545518 63
9767.437216478473 58
9798.918139411428 61
