# TIME: 181.33488992000002 s
# Channel Counts
1014.7203606040389 4158
1044.1604358612858 3056
1073.6005111185327 2234
1103.0405863757796 1778
1132.4806616330268 1309
1161.9207368902737 1122
1191.3608121475208 1003
1220.8008874047678 890
1250.2409626620147 884
1279.6810379192616 887
1309.1211131765087 891
1338.5611884337557 935
1368.0012636910026 918
1397.4413389482497 964
1426.8814142054966 972
1456.3214894627436 1029
1485.7615647199907 1066
1515.2016399772376 1081
1544.6417152344845 1161
1574.0817904917315 1198
1603.5218657489786 1208
1632.9619410062255 1206
1662.4020162634727 1238
1691.8420915207196 1288
1721.2821667779665 1302
1750.7222420352134 1347
1780.1623172924606 1338
1809.6023925497075 1367
1839.0424678069546 1394
1868.4825430642015 1322
1897.9226183214485 1322
1927.3626935786954 1359
1956.8027688359425 1222
1986.2428440931894 1238
2015.6829193504364 1234
2045.1229946076835 1113
2074.56306986493 1145
2104.0031451221776 1081
2133.443220379424 1101
2162.8832956366714 1111
2192.3233708939183 956
2221.763446151165 970
2251.2035214084126 912
2280.643596665659 856
2310.0836719229064 862
2339.523747180153 836
2368.9638224374003 728
2398.4038976946476 721
2427.843972951894 682
2457.2840482091415 665
2486.724123466388 655
2516.1641987236353 684
2545.604273980882 684
2575.044349238129 608
2604.4844244953765 566
2633.924499752623 535
2663.3645750098704 557
2692.804650267117 522
2722.244725524364 514
2751.684800781611 568
2781.124876038858 498
2810.5649512961054 530
2840.005026553352 509
2869.445101810599 506
2898.8851770678457 509
2928.325252325093 527
2957.7653275823404 462
2987.205402839587 406
3016.6454780968343 470
3046.0855533540807 467
3075.525628611328 492
3104.9657038685746 500
3134.405779125822 474
3163.845854383069 472
3193.2859296403158 466
3222.726004897563 474
3252.1660801548096 504
3281.606155412057 483
3311.0462306693034 465
3340.486305926551 511
3369.9263811837977 475
3399.3664564410446 477
3428.806531698292 465
3458.2466069555385 476
3487.686682212786 467
3517.1267574700323 474
3546.5668327272797 504
3576.006907984527 447
3605.4469832417735 506
3634.887058499021 493
3664.3271337562674 464
3693.7672090135147 472
3723.2072842707616 505
3752.6473595280086 471
3782.087434785256 492
3811.5275100425024 467
3840.9675852997498 484
3870.4076605569962 484
3899.8477358142436 480
3929.2878110714905 474
3958.7278863287374 437
3988.167961585985 487
4017.6080368432313 491
4047.0481121004786 472
4076.488187357725 471
4105.9282626149725 468
4135.36833787222 426
4164.808413129467 442
4194.248488386714 467
4223.68856364396 437
4253.1286389012075 419
4282.568714158455 437
4312.008789415702 439
4341.448864672949 465
4370.888939930195 428
4400.329015187443 450
4429.76909044469 442
4459.209165701936 408
4488.649240959184 418
4518.08931621643 461
4547.529391473678 443
4576.969466730925 401
4606.409541988171 451
4635.849617245418 394
4665.289692502665 439
4694.729767759913 383
4724.16984301716 432
4753.6099182744065 433
4783.049993531653 447
4812.4900687889 407
4841.930144046148 427
4871.370219303394 436
4900.8102945606415 425
4930.250369817888 422
4959.690445075135 491
4989.130520332383 455
5018.570595589629 398
5048.010670846877 407
5077.450746104123 431
5106.89082136137 417
5136.330896618618 441
5165.770971875865 444
5195.211047133112 410
5224.651122390358 443
5254.091197647605 419
5283.531272904853 462
5312.971348162099 409
5342.411423419347 434
5371.851498676593 444
5401.2915739338405 418
5430.731649191088 453
5460.171724448334 417
5489.611799705581 407
5519.051874962828 441
5548.4919502200755 459
5577.932025477323 447
5607.372100734569 477
5636.812175991816 467
5666.252251249063 448
5695.692326506311 456
5725.132401763557 498
5754.572477020804 506
5784.012552278051 483
5813.452627535298 528
5842.892702792546 503
5872.332778049792 513
5901.772853307039 492
5931.212928564286 476
5960.653003821533 503
5990.093079078781 497
6019.533154336027 524
6048.973229593274 565
6078.413304850521 512
6107.853380107768 570
6137.293455365016 596
6166.733530622262 596
6196.173605879509 552
6225.613681136756 604
6255.053756394003 616
6284.49383165125 632
6313.933906908497 636
6343.373982165744 626
6372.814057422991 632
6402.254132680238 626
6431.694207937485 677
6461.134283194732 629
6490.574358451979 686
6520.014433709226 692
6549.454508966473 684
6578.89458422372 682
6608.334659480966 697
6637.774734738214 732
6667.214809995461 803
6696.6548852527085 727
6726.094960509955 759
6755.535035767201 756
6784.975111024449 744
6814.415186281696 756
6843.855261538943 793
6873.29533679619 823
6902.735412053436 807
6932.175487310684 861
6961.615562567931 846
6991.055637825178 828
7020.495713082425 858
7049.9357883396715 826
7079.375863596919 872
7108.815938854166 870
7138.256014111413 888
7167.696089368659 928
7197.1361646259065 919
7226.576239883154 919
7256.016315140401 846
7285.456390397648 943
7314.896465654894 964
7344.336540912142 956
7373.776616169389 970
7403.216691426635 966
7432.656766683883 980
7462.096841941129 1018
7491.536917198377 989
7520.976992455624 1041
7550.41706771287 989
7579.857142970118 1054
7609.297218227364 992
7638.737293484612 1072
7668.177368741859 1055
7697.6174439991055 1083
7727.057519256352 1053
7756.497594513599 1099
7785.937669770847 1127
7815.377745028094 1102
7844.8178202853405 1160
7874.257895542587 1148
7903.697970799834 1171
7933.138046057082 1157
7962.578121314328 1211
7992.018196571576 1191
8021.458271828822 1269
8050.898347086069 1291
8080.338422343317 1281
8109.778497600563 1211
8139.21857285781 1301
8168.658648115057 1281
8198.098723372304 1316
8227.53879862955 1284
8256.978873886797 1271
8286.418949144045 1318
8315.859024401292 1371
8345.29909965854 1345
8374.739174915787 1335
8404.179250173032 1328
8433.61932543028 1347
8463.059400687527 1393
8492.499475944773 1332
8521.93955120202 1325
8551.379626459267 1322
8580.819701716515 1329
8610.259776973762 1283
8639.69985223101 1284
8669.139927488255 1303
8698.580002745502 1257
8728.02007800275 1262
8757.460153259997 1239
8786.900228517243 1213
8816.34030377449 1176
8845.780379031738 1235
8875.220454288985 1162
8904.660529546232 1141
8934.10060480348 1151
8963.540680060725 1123
8992.980755317973 1094
9022.42083057522 1100
9051.860905832466 1036
9081.300981089713 1042
9110.74105634696 988
9140.181131604208 942
9169.621206861455 952
9199.061282118702 911
9228.501357375948 880
9257.941432633195 856
9287.381507890443 819
9316.821583147688 853
9346.261658404936 798
9375.701733662183 753
9405.14180891943 758
9434.581884176678 687
9464.021959433923 693
9493.46203469117 660
9522.902109948418 555
9552.342185205665 592
9581.782260462911 602
9611.222335720158 537
9640.662410977406 523
9670.102486234653 510
9699.5425614919 480
9728.982636749148 465
9758.422712006393 471
9787.86278726364 423
9817.302862520888 370
9846.742937778135 366
9876.183013035381 385
9905.623088292628 380
9935.063163549876 336
9964.503238807123 297
9993.94331406437 307
10023.383389321616 304
10052.823464578863 276
10082.26353983611 265
10111.703615093358 231
10141.143690350604 245
10170.583765607851 237
10200.023840865098 215
10229.463916122346 218
10258.903991379593 196
10288.34406663684 163
10317.784141894086 166
10347.224217151334 165
10376.66429240858 155
10406.104367665826 160
10435.544442923074 151
10464.984518180321 147
10494.424593437569 135
10523.864668694816 103
10553.304743952063 113
10582.744819209309 104
10612.184894466556 97
10641.624969723804 104
10671.065044981051 93
10700.505120238297 120
10729.945195495544 107
10759.385270752791 96
10788.825346010039 75
10818.265421267286 66
10847.705496524533 89
10877.145571781779 78
10906.585647039026 75
10936.025722296274 75
10965.46579755352 82
10994.905872810767 57
11024.345948068014 79
11053.786023325261 70
