# TIME: 181.535276656 s
# Channel Counts
1016.2148159922276 4560
1048.626327470496 3124
1081.0378389487646 2261
1113.449350427033 1668
1145.8608619053018 1455
1178.2723733835703 1192
1210.6838848618388 1041
1243.0953963401073 981
1275.5069078183758 896
1307.9184192966443 883
1340.3299307749128 865
1372.7414422531813 883
1405.1529537314498 887
1437.5644652097185 864
1469.975976687987 872
1502.3874881662555 914
1534.798999644524 913
1567.2105111227925 968
1599.622022601061 943
1632.0335340793297 977
1664.4450455575982 1061
1696.8565570358667 987
1729.2680685141352 1044
1761.6795799924037 1157
1794.0910914706722 1236
1826.5026029489406 1191
1858.9141144272091 1313
1891.3256259054776 1438
1923.7371373837461 1468
1956.1486488620149 1538
1988.5601603402833 1606
2020.9716718185518 1653
2053.3831832968203 1784
2085.794694775089 1847
2118.2062062533573 2024
2150.617717731626 2045
2183.0292292098948 2100
2215.440740688163 2240
2247.8522521664318 2334
2280.2637636447 2448
2312.6752751229687 2533
2345.086786601237 2638
2377.4982980795057 2804
2409.9098095577738 2885
2442.3213210360427 2927
2474.732832514311 3089
2507.1443439925797 3072
2539.555855470848 3177
2571.9673669491167 3316
2604.378878427385 3323
2636.7903899056537 3302
2669.201901383922 3567
2701.6134128621907 3512
2734.0249243404596 3412
2766.4364358187277 3463
2798.8479472969966 3384
2831.2594587752646 3371
2863.6709702535336 3361
2896.0824817318016 3286
2928.4939932100706 3131
2960.905504688339 3152
2993.3170161666076 3006
3025.728527644876 3018
3058.1400391231446 2865
3090.551550601413 2683
3122.9630620796815 2553
3155.37457355795 2629
3187.7860850362185 2374
3220.197596514487 2276
3252.6091079927555 2231
3285.020619471024 2053
3317.4321309492925 1984
3349.8436424275615 1739
3382.25515390583 1708
3414.6666653840985 1631
3447.078176862367 1376
3479.4896883406354 1352
3511.901199818904 1241
3544.3127112971724 1171
3576.724222775441 1156
3609.1357342537094 1007
3641.547245731978 917
3673.9587572102464 824
3706.370268688515 855
3738.7817801667834 739
3771.193291645052 732
3803.6048031233204 626
3836.0163146015893 619
3868.427826079858 553
3900.8393375581263 506
3933.250849036395 502
3965.6623605146633 474
3998.073871992932 418
4030.4853834712003 390
4062.896894949469 366
4095.3084064277373 380
4127.719917906006 339
4160.131429384274 328
4192.542940862542 294
4224.954452340811 301
4257.36596381908 304
4289.777475297348 237
4322.188986775616 263
4354.600498253885 250
4387.012009732154 263
4419.423521210423 232
4451.835032688691 221
4484.246544166959 247
4516.658055645228 249
4549.069567123497 226
4581.481078601765 219
4613.892590080033 222
4646.304101558302 255
4678.715613036571 204
4711.127124514839 246
4743.538635993107 224
4775.950147471376 230
4808.361658949645 226
4840.773170427913 223
4873.184681906182 213
4905.59619338445 209
4938.007704862719 188
4970.419216340988 215
5002.830727819256 209
5035.242239297524 214
5067.653750775793 183
5100.065262254062 199
5132.47677373233 192
5164.888285210599 201
5197.299796688867 195
5229.711308167136 185
5262.122819645405 194
5294.534331123673 211
5326.945842601941 220
5359.35735408021 201
5391.768865558479 181
5424.180377036747 238
5456.591888515015 212
5489.003399993284 181
5521.414911471553 206
5553.826422949821 155
5586.237934428089 195
5618.649445906358 185
5651.060957384627 179
5683.472468862895 193
5715.883980341164 184
5748.295491819432 163
5780.707003297701 167
5813.11851477597 193
5845.530026254238 159
5877.941537732506 183
5910.353049210775 162
5942.764560689044 156
5975.176072167312 163
6007.58758364558 153
6039.999095123849 160
6072.410606602118 147
6104.822118080386 175
6137.233629558654 146
6169.645141036923 155
6202.056652515192 146
6234.468163993461 153
6266.879675471729 155
6299.291186949997 159
6331.702698428266 161
6364.114209906535 159
6396.525721384803 147
6428.937232863071 158
6461.34874434134 148
6493.760255819609 149
6526.171767297877 120
6558.583278776145 143
6590.994790254414 135
6623.406301732683 138
6655.817813210951 133
6688.2293246892195 116
6720.640836167488 131
6753.0523476457565 140
6785.4638591240255 129
6817.8753706022935 131
6850.286882080562 137
6882.6983935588305 134
6915.109905037099 111
6947.5214165153675 123
6979.9329279936355 131
7012.3444394719045 122
7044.755950950173 100
7077.1674624284415 125
7109.5789739067095 99
7141.9904853849785 127
7174.401996863247 105
7206.813508341515 123
7239.225019819784 99
7271.636531298052 122
7304.048042776321 119
7336.45955425459 90
7368.871065732858 126
7401.282577211126 133
7433.694088689395 112
7466.105600167664 120
7498.517111645932 114
7530.9286231242 116
7563.340134602469 126
7595.751646080738 118
7628.163157559006 112
7660.574669037274 115
7692.986180515543 103
7725.397691993812 110
7757.80920347208 103
7790.220714950349 104
7822.632226428617 93
7855.043737906886 95
7887.455249385155 117
7919.866760863423 121
7952.278272341691 100
7984.68978381996 125
8017.101295298229 104
8049.512806776497 112
8081.924318254765 102
8114.335829733034 93
