# TIME: 180.778577856 s
# Channel Counts
1014.7283272381085 3664
1044.1709879590067 2460
1073.6136486799046 1694
1103.056309400803 1114
1132.498970121701 762
1161.9416308425994 555
1191.3842915634973 408
1220.8269522843952 359
1250.2696130052936 311
1279.7122737261916 275
1309.15493444709 264
1338.597595167988 266
1368.040255888886 259
1397.4829166097843 248
1426.9255773306822 225
1456.3682380515806 277
1485.8108987724786 257
1515.2535594933768 295
1544.696220214275 261
1574.138880935173 300
1603.5815416560713 306
1633.0242023769692 292
1662.4668630978674 288
1691.9095238187656 314
1721.3521845396635 319
1750.794845260562 324
1780.23750598146 327
1809.6801667023583 316
1839.1228274232562 325
1868.5654881441544 318
1898.0081488650526 352
1927.4508095859505 321
1956.893470306849 291
1986.336131027747 351
2015.778791748645 364
2045.2214524695432 352
2074.6641131904416 316
2104.1067739113396 330
2133.5494346322375 346
2162.9920953531355 349
2192.434756074034 339
2221.8774167949323 342
2251.3200775158302 381
2280.762738236728 361
2310.205398957626 340
2339.6480596785245 314
2369.090720399423 329
2398.533381120321 328
2427.976041841219 319
2457.4187025621172 332
2486.861363283015 316
2516.3040240039136 321
2545.7466847248115 297
2575.1893454457095 298
2604.632006166608 310
2634.074666887506 293
2663.5173276084042 304
2692.959988329302 336
2722.4026490502 309
2751.8453097710985 301
2781.287970491997 300
2810.730631212895 319
2840.173291933793 254
2869.615952654691 286
2899.058613375589 274
2928.5012740964876 290
2957.9439348173855 263
2987.3865955382835 270
3016.8292562591814 259
3046.27191698008 273
3075.7145777009778 273
3105.157238421876 261
3134.599899142774 244
3164.042559863672 261
3193.4852205845705 256
3222.9278813054684 273
3252.370542026367 264
3281.8132027472648 263
3311.2558634681627 255
3340.698524189061 259
3370.1411849099595 230
3399.5838456308575 246
3429.0265063517554 236
3458.4691670726534 252
3487.9118277935518 242
3517.35448851445 238
3546.797149235348 223
3576.239809956246 243
3605.682470677144 241
3635.1251313980424 241
3664.567792118941 248
3694.0104528398388 270
3723.4531135607367 246
3752.895774281635 237
3782.338435002533 271
3811.7810957234315 236
3841.2237564443294 222
3870.6664171652274 204
3900.1090778861258 209
3929.5517386070237 227
3958.994399327922 208
3988.43706004882 201
4017.879720769718 213
4047.3223814906164 225
4076.7650422115144 210
4106.207702932413 223
4135.650363653311 214
4165.09302437421 181
4194.535685095107 181
4223.9783458160055 216
4253.421006536904 219
4282.863667257801 223
4312.3063279787 214
4341.748988699597 214
4371.191649420496 215
4400.634310141395 205
4430.076970862292 203
4459.519631583191 205
4488.962292304088 196
4518.404953024987 199
4547.847613745886 185
4577.290274466783 217
4606.7329351876815 221
4636.1755959085785 186
4665.618256629477 198
4695.060917350376 182
4724.503578071273 194
4753.946238792172 201
4783.388899513069 169
4812.831560233968 201
4842.274220954867 201
4871.716881675764 174
4901.159542396663 179
4930.60220311756 207
4960.044863838459 198
4989.487524559358 188
5018.930185280255 193
5048.372846001153 178
5077.815506722051 169
5107.258167442949 191
5136.700828163848 179
5166.143488884745 172
5195.586149605644 167
5225.028810326543 191
5254.47147104744 179
5283.914131768339 198
5313.356792489236 181
5342.799453210135 174
5372.242113931034 162
5401.684774651931 176
5431.1274353728295 171
5460.5700960937265 191
5490.012756814625 167
5519.455417535524 155
5548.898078256421 174
5578.34073897732 178
5607.783399698218 179
5637.226060419116 155
5666.668721140015 169
5696.111381860912 152
5725.554042581811 165
5754.996703302709 164
5784.439364023607 170
5813.8820247445055 165
5843.324685465403 158
5872.767346186301 162
5902.210006907199 144
5931.652667628097 157
5961.095328348996 156
5990.537989069893 149
6019.980649790792 151
6049.42331051169 142
6078.865971232588 159
6108.308631953487 147
6137.751292674384 139
6167.193953395283 139
6196.636614116181 173
6226.079274837079 149
6255.5219355579775 147
6284.9645962788745 155
6314.407256999773 131
6343.849917720671 147
6373.292578441569 125
6402.735239162468 136
6432.177899883365 151
6461.620560604264 124
6491.063221325163 137
6520.50588204606 120
6549.948542766959 111
6579.391203487856 126
6608.833864208755 117
6638.2765249296535 127
6667.719185650551 118
6697.161846371449 120
6726.6045070923465 112
6756.047167813245 134
6785.489828534144 138
6814.932489255041 105
6844.37514997594 130
6873.817810696837 107
6903.260471417736 134
6932.703132138635 121
6962.145792859532 109
6991.588453580431 126
7021.031114301328 136
7050.473775022227 112
7079.9164357431255 108
7109.3590964640225 104
7138.801757184921 121
7168.244417905818 115
7197.687078626717 112
7227.129739347616 108
7256.572400068513 96
7286.015060789412 129
7315.45772151031 100
7344.900382231208 103
7374.343042952107 108
7403.785703673004 112
7433.228364393903 100
7462.671025114801 93
7492.113685835699 92
7521.556346556597 119
7550.9990072774945 96
7580.441667998393 90
7609.884328719291 93
7639.326989440189 107
7668.769650161088 96
7698.212310881985 108
7727.654971602884 86
7757.097632323782 105
7786.54029304468 105
7815.982953765579 96
7845.425614486476 112
7874.868275207375 108
7904.310935928273 105
7933.7535966491705 99
7963.196257370069 104
7992.638918090966 91
8022.081578811865 92
8051.524239532763 88
8080.966900253661 84
8110.40956097456 95
8139.852221695457 88
8169.294882416356 87
8198.737543137253 94
8228.180203858152 75
8257.62286457905 84
8287.065525299948 91
8316.508186020847 81
8345.950846741744 94
8375.393507462642 79
8404.836168183541 99
8434.278828904438 87
8463.721489625337 87
8493.164150346234 96
8522.606811067133 79
8552.049471788032 73
8581.492132508929 73
8610.934793229828 78
8640.377453950725 85
8669.820114671624 85
8699.262775392523 74
8728.70543611342 81
8758.148096834318 69
8787.590757555216 72
8817.033418276114 71
8846.476078997013 78
8875.91873971791 77
8905.36140043881 84
8934.804061159706 86
8964.246721880605 69
8993.689382601504 86
9023.132043322401 78
9052.5747040433 70
9082.017364764197 59
9111.460025485096 90
9140.902686205995 65
9170.345346926892 70
9199.788007647789 64
9229.230668368687 50
9258.673329089586 56
9288.115989810485 58
9317.558650531382 53
9347.00131125228 62
9376.443971973178 54
9405.886632694077 66
9435.329293414976 62
9464.771954135873 71
9494.21461485677 85
9523.657275577669 64
9553.099936298568 78
9582.542597019466 64
9611.985257740364 74
9641.42791846126 67
9670.87057918216 48
9700.313239903058 57
9729.755900623957 58
9759.198561344854 49
9788.641222065751 61
9818.08388278665 49
9847.526543507549 57
9876.969204228448 62
9906.411864949345 48
9935.854525670242 49
9965.29718639114 60
9994.73984711204 45
10024.182507832938 56
10053.625168553835 51
10083.067829274733 72
10112.510489995631 50
10141.95315071653 60
