# TIME: 181.10462764800002 s
# Channel Counts
1016.3293511976738 4026
1048.9637485070646 2571
1081.5981458164556 1586
1114.2325431258464 1118
1146.8669404352372 776
1179.5013377446282 553
1212.1357350540193 399
1244.77013236341 342
1277.404529672801 312
1310.038926982192 294
1342.673324291583 269
1375.3077216009738 264
1407.9421189103646 305
1440.5765162197554 285
1473.2109135291466 289
1505.8453108385374 306
1538.4797081479282 280
1571.114105457319 314
1603.7485027667103 327
1636.3829000761011 353
1669.017297385492 334
1701.6516946948827 349
1734.286092004274 356
1766.9204893136648 353
1799.5548866230556 366
1832.1892839324464 362
1864.8236812418372 356
1897.4580785512285 351
1930.0924758606193 374
1962.72687317001 358
1995.361270479401 378
2027.9956677887922 343
2060.630065098183 383
2093.264462407574 381
2125.8988597169646 350
2158.5332570263554 330
2191.1676543357466 373
2223.8020516451375 380
2256.4364489545283 379
2289.0708462639195 343
2321.7052435733103 367
2354.339640882701 349
2386.974038192092 338
2419.6084355014827 353
2452.242832810874 343
2484.877230120265 330
2517.5116274296556 349
2550.1460247390464 333
2582.7804220484377 314
2615.4148193578285 355
2648.0492166672193 335
2680.68361397661 306
2713.318011286001 304
2745.952408595392 314
2778.586805904783 350
2811.221203214174 299
2843.855600523565 294
2876.489997832956 326
2909.1243951423467 320
2941.7587924517375 325
2974.3931897611283 276
3007.0275870705195 305
3039.6619843799103 320
3072.296381689301 328
3104.930778998692 294
3137.5651763080828 288
3170.199573617474 311
3202.833970926865 276
3235.4683682362556 294
3268.1027655456464 261
3300.7371628550372 283
3333.3715601644285 311
3366.0059574738193 280
3398.64035478321 264
3431.2747520926014 283
3463.909149401992 288
3496.543546711383 277
3529.177944020774 290
3561.8123413301646 270
3594.446738639556 279
3627.0811359489467 268
3659.7155332583375 262
3692.3499305677283 281
3724.9843278771195 216
3757.6187251865103 256
3790.253122495901 248
3822.887519805292 251
3855.5219171146828 265
3888.156314424074 254
3920.790711733465 232
3953.4251090428556 239
3986.059506352247 261
4018.6939036616377 232
4051.3283009710285 218
4083.9626982804193 228
4116.59709558981 228
4149.231492899202 244
4181.865890208592 224
4214.500287517983 212
4247.134684827373 211
4279.769082136765 237
4312.403479446157 222
4345.037876755547 230
4377.672274064938 212
4410.306671374328 232
4442.94106868372 198
4475.57546599311 191
4508.209863302502 230
4540.844260611892 220
4573.478657921283 204
4606.113055230675 226
4638.747452540065 200
4671.381849849457 222
4704.016247158846 216
4736.650644468238 187
4769.285041777628 226
4801.91943908702 212
4834.553836396411 207
4867.188233705801 193
4899.822631015193 181
4932.457028324583 218
4965.091425633975 178
4997.725822943365 182
5030.360220252756 194
5062.994617562146 210
5095.629014871538 229
5128.26341218093 193
5160.89780949032 177
5193.532206799711 190
5226.166604109101 171
5258.801001418493 207
5291.435398727883 181
5324.0697960372745 205
5356.704193346666 196
5389.338590656056 191
5421.972987965448 197
5454.607385274838 184
5487.241782584229 168
5519.876179893619 179
5552.510577203011 176
5585.144974512402 169
5617.779371821793 179
5650.413769131184 177
5683.048166440574 174
5715.682563749966 172
5748.316961059356 155
5780.951358368748 165
5813.5857556781375 170
5846.220152987529 178
5878.85455029692 179
5911.488947606311 155
5944.123344915703 143
5976.757742225092 162
6009.392139534484 149
6042.026536843874 152
6074.660934153266 164
6107.295331462656 149
6139.929728772047 152
6172.564126081439 153
6205.198523390829 158
6237.832920700221 135
6270.467318009611 164
6303.101715319002 153
6335.736112628392 147
6368.370509937784 153
6401.004907247174 146
6433.639304556566 144
6466.273701865957 149
6498.908099175347 148
6531.542496484739 142
6564.176893794129 127
6596.8112911035205 127
6629.44568841291 125
6662.080085722302 111
6694.714483031693 128
6727.348880341084 112
6759.983277650475 114
6792.617674959865 146
6825.252072269257 134
6857.886469578647 90
6890.520866888039 107
6923.155264197429 104
6955.78966150682 118
6988.424058816211 101
7021.058456125602 123
7053.692853434994 124
7086.3272507443835 107
7118.961648053775 136
7151.596045363165 125
7184.230442672557 118
7216.864839981947 127
7249.499237291338 126
7282.133634600729 131
7314.76803191012 127
7347.402429219512 121
7380.036826528902 113
7412.671223838293 117
7445.305621147683 98
7477.940018457075 117
7510.574415766465 112
7543.208813075857 106
7575.843210385248 117
7608.477607694638 103
7641.11200500403 112
7673.74640231342 124
7706.3807996228115 105
7739.015196932201 123
7771.649594241593 107
7804.283991550983 111
7836.918388860375 87
7869.5527861697665 101
7902.187183479156 95
7934.821580788548 104
7967.455978097938 87
8000.09037540733 98
8032.72477271672 98
8065.359170026111 90
8097.993567335502 95
8130.627964644893 89
8163.262361954285 107
8195.896759263675 93
8228.531156573066 106
8261.165553882456 89
8293.799951191846 96
8326.434348501238 109
8359.06874581063 86
8391.70314312002 114
8424.337540429411 102
8456.971937738803 85
8489.606335048193 97
8522.240732357583 89
8554.875129666974 94
8587.509526976366 95
8620.143924285756 79
8652.778321595146 87
8685.41271890454 89
8718.04711621393 89
8750.68151352332 75
8783.31591083271 72
8815.950308142103 81
8848.584705451492 72
8881.219102760882 73
8913.853500070274 80
8946.487897379666 80
8979.122294689056 98
9011.756691998447 80
9044.39108930784 72
9077.025486617229 72
9109.659883926619 66
9142.29428123601 71
9174.928678545402 76
9207.563075854792 70
9240.197473164184 62
9272.831870473576 76
9305.466267782966 75
9338.100665092355 76
9370.735062401749 76
9403.369459711139 72
9436.003857020529 67
9468.63825432992 59
9501.272651639312 73
9533.907048948702 72
9566.541446258092 69
9599.175843567484 77
9631.810240876875 70
9664.444638186265 73
9697.079035495657 64
9729.713432805049 67
9762.347830114439 70
9794.982227423829 61
9827.61662473322 67
9860.251022042612 58
9892.885419352002 46
9925.519816661392 62
9958.154213970785 55
9990.788611280175 62
10023.423008589565 52
10056.057405898957 59
10088.691803208349 43
10121.326200517738 61
10153.960597827128 57
10186.594995136522 49
10219.229392445912 57
10251.863789755302 64
10284.498187064693 50
10317.132584374085 71
10349.766981683475 57
10382.401378992865 54
10415.035776302257 51
10447.670173611648 50
10480.304570921038 54
10512.93896823043 41
10545.573365539822 57
10578.207762849212 53
10610.842160158601 50
10643.476557467993 54
10676.110954777385 46
10708.745352086775 55
10741.379749396165 48
10774.014146705558 44
10806.648544014948 58
10839.282941324338 72
10871.91733863373 54
10904.551735943121 68
